Pejabat Ketua Menteri,Amanah Rakyat Negeri Sabah Enactment 1990
Pejabat Ketua Menteri,Chief Minister (Incorporation) Ordinance Cap.23 Vol.I
Pejabat Ketua Menteri,Community Development Leaders Enactment 1981
Pejabat Ketua Menteri,Mineral Enactment 1999
Jabatan Hal Ehwal Agama Islam Negeri Sabah ,Control of Islamic Religious Schools Enactment 1991
Pejabat Mufti Negeri,Fatwa Enactment 2004
Majlis Ugama Islam Sabah (MUIS),Majlis Ugama Islam Sabah Enactment 2004
Majlis Ugama Islam Sabah (MUIS),Zakat and Fitrah Enactment 1993
Suruhanjaya Perkhidmatan Awam Negeri ,Public Service Commission (Remuneration) Enactment 1963
Unit Pemimpin Pembangunan Masyarakat,Community Development Leaders Enactment 1981
Pejabat Hasil Bumi,Land Ordinance Cap.68
Pejabat Hasil Bumi,Mining Ordinance 1960
Pejabat Hasil Bumi,Mining (Fees) Regulations 1960
Pejabat Hasil Bumi,Mining (Inspector of Mines) Regulations 1976
Pejabat Hasil Bumi,Mining Regulations 1969
Jabatan Tanah & Ukur,Land Ordinance Cap. 68
Jabatan Tanah & Ukur,Reconstitution of Land Title Registers Ordinance
Jabatan Tanah & Ukur,"Reconstitution of Land Title Registers (Completion) Ordinance, 1956"
Jabatan Tanah & Ukur,Reconstitution of Land Office Records (Labuan) Ordinance
Jabatan Tanah & Ukur,Mining Ordinance 1960
Jabatan Tanah & Ukur,Burial Ordinance Cap. 19
Jabatan Tanah & Ukur,Burial Rules
Jabatan Tanah & Ukur,Native Rice Cultivation Ordinance Cap. 87
Jabatan Tanah & Ukur,Administration of Native and Small Estates Ordinance Cap. 1
Jabatan Tanah & Ukur,Administration Division Ordinance Cap. 167
Jabatan Tanah & Ukur,Country Land Utilization Ordinance 1962
Jabatan Tanah & Ukur,Land Rules (Section 46) GN.505-1930
Jabatan Tanah & Ukur,Land (Subsidiary of title) Enactment 1972
Jabatan Tanah & Ukur,Town and Country Planning Ordinance Cap. 141
Jabatan Tanah & Ukur,Land Acquisition Ordinance Cap. 69 Vol. I
Jabatan Tanah & Ukur,"Land Acquisition Ordinance (Sabah,Cap.87)"
Jabatan Tanah & Ukur,"Rent Revision Rules, 1958"
Jabatan Tanah & Ukur,Land (Temporary Planting Permit) Rules
Jabatan Tanah & Ukur,Land (Control and management of Sipadan Island Rules 1996
Jabatan Tanah & Ukur,Surveyors Ordinance (No. 22 of 1960)
Jabatan Tanah & Ukur,Surveyors (Conduct of Title Surveys) Regulations 1962
Jabatan Tanah & Ukur,Surveyors (Registration and Administration) Regulation 1989
Jabatan Tanah & Ukur,Surveyors (Disciplinary Enquiry) Regulations 1996
Jabatan Tanah & Ukur,Surveyors (Conduct of Topographical and Engineering Surveying) Regulations 2019
Jabatan Tanah & Ukur,Surveyors (Conduct of Underground Utilities Surveying) Regulations 2019
Jabatan Tanah & Ukur,Surveyors (Conduct of Hydrographic Surveys) Regulations 2019
Jabatan Tanah & Ukur,Surveyors (Conduct of Airborne Surveys) Regulations 2019
Jabatan Tanah & Ukur,Administration of Native and mall estates (Form & Fees) Rules 1953
Jabatan Tanah & Ukur,Administration Division Proclamation 2007
Jabatan Tanah & Ukur,Administration Division Proclamation 2009
Jabatan Tanah & Ukur,Administration Division Proclamation 2014
Jabatan Arkib Negeri Sabah,Sabah State Records and Archives Enactment 2007
Jabatan Perhutanan Sabah,Forest Enactment 1968
Jabatan Perhutanan Sabah,"Forest Rules, 1969"
Jabatan Perhutanan Sabah,Forest(Danum Valley Conservation Area) Rules 1996
Jabatan Perhutanan Sabah,Forest (Imbak Canyon Conservation Area) Rules 2010
Jabatan Perhutanan Sabah,Forest (Maliau basin Conservation Area) Rules 1998
Jabatan Perhutanan Sabah,Forest (Meliau Range Conservation Area) Rules 2016
Jabatan Perhutanan Sabah,Forest (Northern Kuamut Conservation Area) Rules 2016
Jabatan Perhutanan Sabah,Forest (Tabin Wildlife Conservation Area) Rules 2007
Jabatan Perhutanan Sabah,Forest (Timber) Enactment 2015
Jabatan Perhutanan Sabah,Forest (Timber)(Compounding of Offences) Regulation 2017
Jabatan Perhutanan Sabah,Forest (Timber)(Registration) Regulations 2017
Jabatan Perhutanan Sabah,Forest (Constitution of Forest Reserves and Amendment) Enactment 1984
Jabatan Perhutanan Sabah,Timber Royalties (Application Of Rates) Enactment 1966 (Sabah No. 22 of 1966)
Jabatan Perhutanan Sabah,Forest (Kebun Cina Forest Reserve) Rules 2009
Jabatan Perhutanan Sabah,Fees (Forest Reserves) Order 2009
Lembaga Kemajuan Perhutanan Negeri Sabah (SAFODA),Sabah Forestry Development Authority Enacment 1981
Dewan Bandaraya Kota Kinabalu,City of Kota Kinabalu Enactment 1997
Dewan Bandaraya Kota Kinabalu,City of Kota Kinabalu (Advisory Board) Direction 2000
Dewan Bandaraya Kota Kinabalu,Kota Kinabalu Municipal Council (Change of Status) Enactment 1978
Dewan Bandaraya Kota Kinabalu,Dogs Ordinance 1960
Dewan Bandaraya Kota Kinabalu,Dogs Rules 1960
