AGENSI_xn,organization_id,name
Jabatan Ketua Menteri,#N/A,Amanah Rakyat Negeri Sabah Enactment 1990
Jabatan Ketua Menteri,#N/A,Chief Minister (Incorporation) Ordinance Cap.23 Vol.I
Jabatan Ketua Menteri,#N/A,Community Development Leaders Enactment 1981
Jabatan Ketua Menteri,#N/A,Mineral Enactment 1999
Jabatan Hal Ehwal Agama Islam Negeri Sabah (JHEAINS),#N/A,Control of Islamic Religious Schools Enactment 1991
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Muslim (Title and construction) Ordinance Cap.84
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Islamic Family Law Enactment 1992
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Islamic Family Law Enactment 2004
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Muslim Wills (State of Sabah) Enactment 2018
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Syariah Court Civil Procedure Enactment 2004
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Syariah Courts Enactment 2004
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Syariah Courts Evidence Enactment 2004
Jabatan Kehakiman Syariah Negeri Sabah,#N/A,Syariah Courts Criminal Offences Enactment 1994
Pejabat Mufti Negeri,#N/A,Fatwa Enactment 2004
Majlis Ugama Islam Sabah (MUIS),#N/A,Majlis Ugama Islam Sabah Enactment 2004
Majlis Ugama Islam Sabah (MUIS),#N/A,Zakat and Fitrah Enactment 1993
Lembaga Pengurusan Wakaf Negeri Sabah,#N/A,Wakaf ( State of Sabah ) Enactment 2018
Perbadanan Baitumal Negeri Sabah,#N/A,Baitulmal Corporation Enactment 1998
Suruhanjaya Perkhidmatan Awam Negeri (SPAN),#N/A,Public Service Commission (Remuneration) Enactment 1963
Unit Pemimpin Pembangunan Masyarakat,#N/A,Community Development Leaders Enactment 1981
Pejabat Hasil Bumi,#N/A,Land Ordinance Cap.68
Pejabat Hasil Bumi,#N/A,Mining Ordinance 1960
Pejabat Hasil Bumi,#N/A,Mining (Fees) Regulations 1960
Pejabat Hasil Bumi,#N/A,Mining (Inspector of Mines) Regulations 1976
Pejabat Hasil Bumi,#N/A,Mining Regulations 1969
Jabatan Tanah dan Ukur,#N/A,Land Ordinance Cap. 68
Jabatan Tanah dan Ukur,#N/A,Reconstitution of Land Title Registers Ordinance
Jabatan Tanah dan Ukur,#N/A,"Reconstitution of Land Title Registers (Completion) Ordinance, 1956"
Jabatan Tanah dan Ukur,#N/A,Reconstitution of Land Office Records (Labuan) Ordinance
Jabatan Tanah dan Ukur,#N/A,Mining Ordinance 1960
Jabatan Tanah dan Ukur,#N/A,Burial Ordinance Cap. 19
Jabatan Tanah dan Ukur,#N/A,Burial Rules
Jabatan Tanah dan Ukur,#N/A,Native Rice Cultivation Ordinance Cap. 87
Jabatan Tanah dan Ukur,#N/A,Administration of Native and Small Estates Ordinance Cap. 1
Jabatan Tanah dan Ukur,#N/A,Administration Division Ordinance Cap. 167
Jabatan Tanah dan Ukur,#N/A,Country Land Utilization Ordinance 1962
Jabatan Tanah dan Ukur,#N/A,Land Rules (Section 46) GN.505-1930
Jabatan Tanah dan Ukur,#N/A,Land (Subsidiary of title) Enactment 1972
Jabatan Tanah dan Ukur,#N/A,Town and Country Planning Ordinance Cap. 141
Jabatan Tanah dan Ukur,#N/A,Land Acquisition Ordinance Cap. 69 Vol. I
Jabatan Tanah dan Ukur,#N/A,"Land Acquisition Ordinance (Sabah,Cap.87)"
Jabatan Tanah dan Ukur,#N/A,"Rent Revision Rules, 1958"
Jabatan Tanah dan Ukur,#N/A,Land (Temporary Planting Permit) Rules
Jabatan Tanah dan Ukur,#N/A,Land (Control and management of Sipadan Island Rules 1996
Jabatan Tanah dan Ukur,#N/A,Surveyors Ordinance (No. 22 of 1960)
Jabatan Tanah dan Ukur,#N/A,Surveyors (Conduct of Title Surveys) Regulations 1962
Jabatan Tanah dan Ukur,#N/A,Surveyors (Registration and Administration) Regulation 1989
Jabatan Tanah dan Ukur,#N/A,Surveyors (Disciplinary Enquiry) Regulations 1996
Jabatan Tanah dan Ukur,#N/A,Surveyors (Conduct of Topographical and Engineering Surveying) Regulations 2019
Jabatan Tanah dan Ukur,#N/A,Surveyors (Conduct of Underground Utilities Surveying) Regulations 2019
Jabatan Tanah dan Ukur,#N/A,Surveyors (Conduct of Hydrographic Surveys) Regulations 2019
Jabatan Tanah dan Ukur,#N/A,Surveyors (Conduct of Airborne Surveys) Regulations 2019
Jabatan Tanah dan Ukur,#N/A,Administration of Native and mall estates (Form & Fees) Rules 1953
Jabatan Tanah dan Ukur,#N/A,Administration Division Proclamation 2007
Jabatan Tanah dan Ukur,#N/A,Administration Division Proclamation 2009
Jabatan Tanah dan Ukur,#N/A,Administration Division Proclamation 2014
Jabatan Arkib Negeri,#N/A,Sabah State Records and Archives Enactment 2007
Jabatan Perhutanan Negeri,#N/A,Forest Enactment 1968
Jabatan Perhutanan Negeri,#N/A,"Forest Rules, 1969"
Jabatan Perhutanan Negeri,#N/A,Forest(Danum Valley Conservation Area) Rules 1996
Jabatan Perhutanan Negeri,#N/A,Forest (Imbak Canyon Conservation Area) Rules 2010
Jabatan Perhutanan Negeri,#N/A,Forest (Maliau basin Conservation Area) Rules 1998
Jabatan Perhutanan Negeri,#N/A,Forest (Meliau Range Conservation Area) Rules 2016
Jabatan Perhutanan Negeri,#N/A,Forest (Northern Kuamut Conservation Area) Rules 2016
Jabatan Perhutanan Negeri,#N/A,Forest (Tabin Wildlife Conservation Area) Rules 2007
Jabatan Perhutanan Negeri,#N/A,Forest (Timber) Enactment 2015
